Key	Type	Desc	Português [c0]
15bit	Text		15bit
15bitDither	Text		15bit dither
24bit	Text		24bit
Achievements/CatchStarlightNautilus	Text		Fóssil Lendário
Achievements/CherryBlossomTrees	Text		5 centímetros por segundo
Achievements/DefeatAzeos	Text		Dos Céus!
Achievements/DefeatGhorm	Text		Bugging Out
Achievements/DefeatGlurch	Text		Um encontro viscoso
Achievements/DefeatHivemother	Text		Cuidado onde pisa
Achievements/DefeatIgneous	Text		queimando através
Achievements/DefeatIvy	Text		Personalidade Tóxica
Achievements/DefeatKingSlime	Text		Shinobi escorregadio
Achievements/DefeatMalugaz	Text		voce é um feiticeiro
Achievements/DefeatMorpha	Text		Escorregadio Quando Molhado
Achievements/DefeatOmoroth	Text		Das Profundezas!
Achievements/DefeatRaAkar	Text		apenas desertos
Achievements/Discover100CookBookRecipes	Text		Chef Certificado
Achievements/EquipRingOfRockAndStone	Text		Rocha e Pedra!
Achievements/GainOver200MovementSpeed	Text		Com pressa
Achievements/HarvestGoldenIngredient	Text		Fazendeiro Midas
Achievements/KeyArtCharacter	Text		Síndrome do Imitador
Achievements/MaxedOutCooking	Text		Queijo!
Achievements/MaxedOutCrafting	Text		Explorador Astuto
Achievements/MaxedOutFishing	Text		Completamente fisgado
Achievements/MaxedOutGardening	Text		Nutridor da Natureza
Achievements/MaxedOutMelee	Text		...Ferroa como uma abelha
Achievements/MaxedOutMining	Text		Diggy Diggy Hole
Achievements/MaxedOutRange	Text		Robin Hood
Achievements/MaxedOutRunning	Text		Flutue como uma borboleta...
Achievements/MaxedOutVitality	Text		Consciencia saudável
Achievements/ObtainPhantomSpark	Text		A Centelha Fantasma
Achievements/ObtainRuneSong	Text		A Canção Rúnica
Achievements/ObtainSoulSeeker	Text		O Caçador de Almas
Achievements/ObtainTheOracleDeck	Text		O coração das cartas
Achievements/SitOnCavelingToiletWithACrown	Text		Um trono digno de um rei
Achievements/TalkToBigLarva	Text		Grupo de fofocas
AchievementsLockedDescription/CatchStarlightNautilus	Text		Pegue um Starlight Nautilus
AchievementsLockedDescription/DefeatAzeos	Text		Derrote Azeos, o Titã do Céu
AchievementsLockedDescription/DefeatGhorm	Text		Derrote Ghorm, o Devorador
AchievementsLockedDescription/DefeatGlurch	Text		Derrote Glurch, a Massa Abominável
AchievementsLockedDescription/DefeatHivemother	Text		Derrote a Mãe da Colmeia
AchievementsLockedDescription/DefeatIgneous	Text		Derrote Igneous, a Massa Fundida
AchievementsLockedDescription/DefeatIvy	Text		Derrote Ivy, a Massa Venenosa
AchievementsLockedDescription/DefeatKingSlime	Text		Derrote o Rei Slime
AchievementsLockedDescription/DefeatMalugaz	Text		Derrote Malugaz, o Corrompido
AchievementsLockedDescription/DefeatMorpha	Text		Derrote Morpha, a Massa Aquática
AchievementsLockedDescription/DefeatOmoroth	Text		Derrote Omoroth, o Titã do Mar
AchievementsLockedDescription/DefeatRaAkar	Text		Derrote Ra-Akar, o Titã da Areia
AchievementsLockedDescription/Discover100CookBookRecipes	Text		Descubra 100 receitas no livro de receitas
AchievementsLockedDescription/EquipRingOfRockAndStone	Text		Equipe o Ring of Rock e o Ring of Stone
AchievementsLockedDescription/GainOver200MovementSpeed	Text		Ganhe mais de 200% de velocidade de movimento
AchievementsLockedDescription/HarvestGoldenIngredient	Text		Colher uma planta dourada
AchievementsLockedDescription/KeyArtCharacter	Text		Vista-se como um personagem das ilustrações oficiais
AchievementsLockedDescription/MaxedOutCooking	Text		Ganhe 100 pontos de habilidade em cozinhar
AchievementsLockedDescription/MaxedOutCrafting	Text		Ganhe 100 pontos de habilidade na elaboração
AchievementsLockedDescription/MaxedOutFishing	Text		Ganhe 100 pontos de habilidade na pesca
AchievementsLockedDescription/MaxedOutGardening	Text		Ganhe 100 pontos de habilidade em jardinagem
AchievementsLockedDescription/MaxedOutMelee	Text		Ganhe 100 pontos de habilidade em corpo a corpo
AchievementsLockedDescription/MaxedOutMining	Text		Ganhe 100 pontos de habilidade em mineração
AchievementsLockedDescription/MaxedOutRange	Text		Ganhe 100 pontos de habilidade no alcance
AchievementsLockedDescription/MaxedOutRunning	Text		Ganhe 100 pontos de habilidade em corrida
AchievementsLockedDescription/MaxedOutVitality	Text		Ganhe 100 pontos de habilidade em vitalidade
AchievementsLockedDescription/ObtainPhantomSpark	Text		Obter Centelha Fantasma
AchievementsLockedDescription/ObtainRuneSong	Text		Obtenha a Canção Rúnica
AchievementsLockedDescription/ObtainSoulSeeker	Text		Obter Caçador de Almas
AchievementsLockedDescription/ObtainTheOracleDeck	Text		Obtenha o baralho Oracle Card
